Time,Theta_1,Theta_2,Alpha,Input
4.758,0,-0,-20.21484375,9.99999999981159
4.76,0,-0,-20.21484375,9.99999999981253
4.762,0,-0,-20.21484375,9.99999999981323
4.764,0,-0,-20.21484375,9.99999999981385
4.766,0,-0,-20.21484375,9.99999999981439
4.768,0,-0,-20.21484375,9.99999999981488
4.77,0,-0,-20.21484375,9.99999999981532
4.772,0,-0,-20.0390625,9.9999999998079
4.774,0,-0,-20.0390625,9.99999999980916
4.776,0,-0,-20.0390625,9.99999999981027
4.778,0,-0,-20.0390625,9.99999999981125
4.78,0,-0,-20.0390625,9.99999999981186
4.782,0,-0,-20.0390625,9.99999999981262
4.784,0,-0,-20.0390625,9.99999999981318
4.786,0,-0,-20.0390625,9.99999999981367
4.788,0,-0,-19.86328125,9.99999999980519
4.79,0,-0,-19.86328125,9.99999999980691
4.792,0,-0,-19.86328125,9.99999999980811
4.794,0,-0,-19.86328125,9.99999999980921
4.796,0,-0,-19.86328125,9.99999999981012
4.798,0,-0,-19.86328125,9.99999999981096
4.8,0,-0,-19.86328125,9.99999999981144
4.802,0,-0,-19.86328125,9.99999999981211
4.804,0,-0,-19.86328125,9.99999999981266
4.806,0,-0,-19.6875,9.99999999980329
4.808,0,-0,-19.6875,9.99999999980504
4.81,0,-0,-19.6875,9.99999999980652
4.812,0,-0,-19.6875,9.99999999980766
4.814,0,-0,-19.6875,9.99999999980861
4.816,0,-0,-19.6875,9.99999999980945
4.818,0,-0,-19.6875,9.9999999998102
4.82,0,-0,-19.6875,9.99999999981087
4.822,0,-0,-19.6875,9.9999999998112
4.824,0,-0,-19.51171875,9.99999999980105
4.826,0,-0,-19.51171875,9.99999999980279
4.828,0,-0,-19.51171875,9.99999999980433
4.83,0,-0,-19.51171875,9.9999999998057
4.832,0,-0,-19.51171875,9.9999999998069
4.834,0,-0,-19.51171875,9.99999999980776
4.836,0,-0,-19.51171875,9.99999999980853
4.838,0,-0,-19.51171875,9.99999999980921
4.84,0,-0,-19.51171875,9.99999999980983
4.842,0,-0,-19.3359375,9.99999999979863
4.844,0,-0,-19.3359375,9.9999999998004
4.846,0,-0,-19.3359375,9.99999999980198
4.848,0,-0,-19.3359375,9.99999999980338
4.85,0,-0,-19.3359375,9.99999999980463
4.852,0,-0,-19.3359375,9.99999999980578
4.854,0,-0,-19.3359375,9.99999999980675
4.856,0,-0,-19.3359375,9.99999999980745
4.858,0,-0,-19.3359375,9.99999999980808
4.86,0,-0,-19.16015625,9.99999999979606
4.862,0,-0,-19.16015625,9.9999999997979
4.864,0,-0,-19.16015625,9.99999999979952
4.866,0,-0,-19.16015625,9.99999999980096
4.868,0,-0,-19.16015625,9.99999999980224
4.87,0,-0,-19.16015625,9.99999999980339
4.872,0,-0,-19.16015625,9.99999999980441
4.874,0,-0,-19.16015625,9.99999999980533
4.876,0,-0,-19.16015625,9.99999999980619
4.878,0,-0,-19.16015625,9.99999999980685
4.88,0,-0,-18.984375,9.99999999979414
4.882,0,-0,-18.984375,9.99999999979597
4.884,0,-0,-18.984375,9.99999999979757
4.886,0,-0,-18.984375,9.99999999979899
4.888,0,-0,-18.984375,9.99999999980025
4.89,0,-0,-18.984375,9.99999999980137
4.892,0,-0,-18.984375,9.99999999980238
4.894,0,-0,-18.984375,9.99999999980332
4.896,0,-0,-18.984375,9.99999999980409
4.898,0,-0,-18.80859375,9.99999999979107
4.9,0,-0,-18.80859375,9.99999999979273
4.902,0,-0,-18.80859375,9.99999999979454
4.904,0,-0,-18.80859375,9.99999999979607
4.906,0,-0,-18.80859375,9.99999999979742
4.908,0,-0,-18.80859375,9.99999999979861
4.91,0,-0,-18.80859375,9.99999999979967
4.912,0,-0,-18.80859375,9.99999999980062
4.914,0,-0,-18.80859375,9.99999999980147
4.916,0,-0,-18.6328125,9.99999999978932
4.918,0,-0,-18.6328125,9.99999999979053
4.92,0,-0,-18.6328125,9.99999999979919
4.922,0,-0,-18.6328125,9.99999999979315
4.924,0,-0,-18.6328125,9.99999999979462
4.926,0,-0,-18.6328125,9.99999999979588
4.928,0,-0,-18.6328125,9.99999999979701
4.93,0,-0,-18.6328125,9.999999999798
4.932,0,-0,-18.6328125,9.99999999979889
4.934,0,-0,-18.6328125,9.99999999979968
4.936,0,-0,-18.45703125,9.99999999978789
4.938,0,-0,-18.45703125,9.99999999978917
4.94,0,-0,-18.45703125,9.99999999979025
4.942,0,-0,-18.45703125,9.99999999979108
4.944,0,-0,-18.45703125,9.99999999979217
4.946,0,-0,-18.45703125,9.99999999979355
4.948,0,-0,-18.45703125,9.9999999997947
4.95,0,-0,-18.45703125,9.9999999997957
4.952,0,-0,-18.45703125,9.99999999979659
4.954,0,-0,-18.28125,9.9999999997857
4.956,0,-0,-18.28125,9.99999999978693
4.958,0,-0,-18.28125,9.99999999978813
4.96,0,-0,-18.28125,9.9999999997892
4.962,0,-0,-18.28125,9.99999999979012
4.964,0,-0,-18.28125,9.99999999979087
4.966,0,-0,-18.28125,9.99999999997054
4.968,0,-0,-18.28125,9.9999999997926
4.97,0,-0,-18.28125,9.99999999979363
4.972,0,-0,-18.28125,9.9999999997945
4.974,0,-0,-18.10546875,9.99999999978334
4.976,0,-0,-18.10546875,9.99999999978545
4.978,0,-0,-18.10546875,9.99999999978652
4.98,0,-0,-18.10546875,9.99999999978756
4.982,0,-0,-18.10546875,9.99999999978852
4.984,0,-0,-18.10546875,9.99999999978937
4.986,0,-0,-18.10546875,9.9999999997901
4.988,0,-0,-18.10546875,9.99999999979071
4.99,0,-0,-18.10546875,9.99999999979116
4.992,0,-0,-18.10546875,9.99999999979177
4.994,0,-0,-17.9296875,9.99999999978466
4.996,0,-0,-17.9296875,9.9999999997843
4.998,0,-0,-17.9296875,9.9999999997848
5,0,-0,-17.9296875,9.99999999978578
5.002,0,-0,-17.9296875,9.99999999978667
5.004,0,-0,-17.9296875,9.99999999978752
5.006,0,-0,-17.9296875,9.9999999997883
5.008,0,-0,-17.9296875,9.99999999978901
5.01,0,-0,-17.9296875,9.99999999978961
5.012,0,-0,-17.9296875,9.9999999997902
5.014,0,-0,-17.75390625,9.99999999978307
5.016,0,-0,-17.75390625,9.99999999978423
5.018,0,-0,-17.75390625,9.99999999978468
5.02,0,-0,-17.75390625,9.99999999978345
5.022,0,-0,-17.75390625,9.99999999978493
5.024,0,-0,-17.75390625,9.99999999978566
5.026,0,-0,-17.75390625,9.99999999978638
5.028,0,-0,-17.75390625,9.99999999978707
5.03,0,-0,-17.75390625,9.99999999978771
5.032,0,-0,-17.75390625,9.99999999978829
5.034,0,-0,-17.578125,9.99999999978116
5.036,0,-0,-17.578125,9.99999999978245
5.038,0,-0,-17.578125,9.9999999997835
5.04,0,-0,-17.578125,9.99999999978436
5.042,0,-0,-17.578125,9.9999999997845
5.044,0,-0,-17.578125,9.99999999978407
5.046,0,-0,-17.578125,9.9999999997845
5.048,0,-0,-17.578125,9.99999999978519
5.05,0,-0,-17.578125,9.99999999978579
5.052,0,-0,-17.578125,9.99999999978633
5.054,0,-0,-17.40234375,9.99999999977293
5.056,0,-0,-17.40234375,9.99999999977849
5.058,0,-0,-17.40234375,9.99999999978165
5.06,0,-0,-17.40234375,9.99999999978268
5.062,0,-0,-17.40234375,9.99999999978352
5.064,0,-0,-17.40234375,9.99999999978423
5.066,0,-0,-17.40234375,9.99999999978461
5.068,0,-0,-17.40234375,9.99999999978415
5.07,0,-0,-17.40234375,9.99999999978698
5.072,0,-0,-17.40234375,9.99999999978442
5.074,0,-0,-17.2265625,9.99999999976986
5.076,0,-0,-17.2265625,9.99999999976485
5.078,0,-0,-17.2265625,9.99999999977483
5.08,0,-0,-17.2265625,9.99999999977996
5.082,0,-0,-17.2265625,9.99999999978168
5.084,0,-0,-17.2265625,9.99999999978253
5.086,0,-0,-17.2265625,9.99999999978331
5.088,0,-0,-17.2265625,9.99999999978383
5.09,0,-0,-17.2265625,9.99999999978435
5.092,0,-0,-17.2265625,9.99999999978451
5.094,0,-0,-17.05078125,9.99999999977064
5.096,0,-0,-17.05078125,9.99999999976981
5.098,0,-0,-17.05078125,9.99999999977004
5.1,0,-0,-17.05078125,9.99999999977162
5.102,0,-0,-17.05078125,9.99999999977505
5.104,0,-0,-17.05078125,9.9999999997792
5.106,0,-0,-17.05078125,9.99999999978134
5.108,0,-0,-17.05078125,9.99999999978205
5.11,0,-0,-17.05078125,9.99999999978267
5.112,0,-0,-17.05078125,9.99999999978319
5.114,0,-0,-16.875,9.99999999977356
5.116,0,-0,-16.875,9.99999999977138
5.118,0,-0,-16.875,9.99999999977015
5.12,0,-0,-16.875,9.99999999976973
5.122,0,-0,-16.875,9.99999999977004
5.124,0,-0,-16.875,9.99999999977113
5.126,0,-0,-16.875,9.9999999997738
5.128,0,-0,-16.875,9.99999999977682
5.13,0,-0,-16.875,9.99999999978018
5.132,0,-0,-16.875,9.99999999978129
5.134,0,-0,-16.875,9.99999999978182
5.136,0,-0,-16.69921875,9.999999999769
5.138,0,-0,-16.69921875,9.99999999977323
5.14,0,-0,-16.69921875,9.99999999977191
5.142,0,-0,-16.69921875,9.99999999977058
5.144,0,-0,-16.69921875,9.99999999976987
5.146,0,-0,-16.69921875,9.9999999997697
5.148,0,-0,-16.69921875,9.99999999977006
5.15,0,-0,-16.69921875,9.99999999976985
5.152,0,-0,-16.69921875,9.99999999977238
5.154,0,-0,-16.69921875,9.99999999977444
5.156,0,-0,-16.5234375,9.99999999976688
5.158,0,-0,-16.5234375,9.99999999976714
5.16,0,-0,-16.5234375,9.99999999976941
5.162,0,-0,-16.5234375,9.99999999977318
5.164,0,-0,-16.5234375,9.99999999977219
5.166,0,-0,-16.5234375,9.99999999977095
5.168,0,-0,-16.5234375,9.99999999977017
5.17,0,-0,-16.5234375,9.99999999976975
5.172,0,-0,-16.5234375,9.99999999976965
5.174,0,-0,-16.5234375,9.99999999976981
5.176,0,-0,-16.5234375,9.99999999977025
5.178,0,-0,-16.34765625,9.99999999976817
5.18,0,-0,-16.34765625,9.99999999976702
5.182,0,-0,-16.34765625,9.99999999976655
5.184,0,-0,-16.34765625,9.99999999976792
5.186,0,-0,-16.34765625,9.99999999977018
5.188,0,-0,-16.34765625,9.99999999977335
5.19,0,-0,-16.34765625,9.99999999977235
5.192,0,-0,-16.34765625,9.9999999997713
5.194,0,-0,-16.34765625,9.99999999977054
5.196,0,-0,-16.34765625,9.99999999977005
5.198,0,-0,-16.34765625,9.99999999976975
5.2,0,-0,-16.171875,9.99999999976571
5.202,0,-0,-16.171875,9.99999999976866
5.204,0,-0,-16.171875,9.99999999976751
5.206,0,-0,-16.171875,9.99999999976686
5.208,0,-0,-16.171875,9.99999999976654
5.21,0,-0,-16.171875,9.99999999976764
5.212,0,-0,-16.171875,9.99999999976927
5.214,0,-0,-16.171875,9.99999999977142
5.216,0,-0,-16.171875,9.99999999977342
5.218,0,-0,-16.171875,9.99999999977238
5.22,0,-0,-16.171875,9.99999999977158
5.222,0,-0,-15.99609375,9.99999999975425
5.224,0,-0,-15.99609375,9.99999999976268
5.226,0,-0,-15.99609375,9.99999999976717
5.228,0,-0,-15.99609375,9.99999999976849
5.23,0,-0,-15.99609375,9.9999999997676
5.232,0,-0,-15.99609375,9.99999999976693
5.234,0,-0,-15.99609375,9.99999999976548
5.236,0,-0,-15.99609375,9.99999999976683
5.238,0,-0,-15.99609375,9.99999999976777
5.24,0,-0,-15.99609375,9.99999999976909
5.242,0,-0,-15.99609375,9.99999999977043
5.244,0,-0,-15.8203125,9.99999999974494
5.246,0,-0,-15.8203125,9.99999999975024
5.248,0,-0,-15.8203125,9.99999999975664
5.25,0,-0,-15.8203125,9.99999999976374
5.252,0,-0,-15.8203125,9.99999999976704
5.254,0,-0,-15.8203125,9.99999999976867
5.256,0,-0,-15.8203125,9.99999999976782
5.258,0,-0,-15.8203125,9.99999999976723
5.26,0,-0,-15.8203125,9.99999999976687
5.262,0,-0,-15.8203125,9.99999999976635
5.264,0,-0,-15.8203125,9.99999999976645
5.266,0,-0,-15.64453125,9.9999999997415
5.268,0,-0,-15.64453125,9.99999999974193
5.27,0,-0,-15.64453125,9.99999999974644
5.272,0,-0,-15.64453125,9.99999999975108
5.274,0,-0,-15.64453125,9.9999999997564
5.276,0,-0,-15.64453125,9.99999999976232
5.278,0,-0,-15.64453125,9.99999999976569
5.28,0,-0,-15.64453125,9.99999999976807
5.282,0,-0,-15.64453125,9.99999999976861
5.284,0,-0,-15.64453125,9.99999999976793
5.286,0,-0,-15.64453125,9.99999999976743
5.288,0,-0,-15.46875,9.99999999974185
5.29,0,-0,-15.46875,9.99999999974134
5.292,0,-0,-15.46875,9.9999999997417
5.294,0,-0,-15.46875,9.99999999974277
5.296,0,-0,-15.46875,9.99999999974628
5.298,0,-0,-15.46875,9.99999999974995
5.3,0,-0,-15.46875,9.99999999975399
5.302,0,-0,-15.46875,9.99999999975835
5.304,0,-0,-15.46875,9.9999999997629
5.306,0,-0,-15.46875,9.99999999976527
5.308,0,-0,-15.46875,9.99999999976698
5.31,0,-0,-15.46875,9.99999999976865
5.312,0,-0,-15.29296875,9.99999999974374
