Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999971
0.002,0,-0,-180,9.99999999999978
0.004,0,-0,-180,9.99999999999977
0.006,0,-0,-180,9.99999999999977
0.008,0,-0,-180,9.99999999999895
0.01,0,-0,-180,9.99999999999953
0.012,0,-0,-180,9.99999999999943
0.014,0,-0,-180,9.99999999999936
0.016,0,-0,-180,9.99999999999954
0.018,0,-0,-180,9.99999999999961
0.02,0,-0,-180,9.99999999999945
0.022,0,-0,-180,9.9999999999995
0.024,0,-0,-180,9.99999999999835
0.026,0,-0,-180,9.9999999999996
0.028,0,-0,-180,9.99999999999864
0.03,0,-0,-180,9.99999999999797
0.032,0,-0,-180,9.99999999999777
0.034,0,-0,-179.82421875,9.99999999999824
0.036,0,-0,-179.6484375,9.99999999999896
0.038,0,-0,-179.47265625,9.99999999999906
0.04,0,-0,-179.296875,9.99999999999948
0.042,0,-0,-179.12109375,9.99999999999796
0.044,0,-0,-178.9453125,9.99999999999723
0.046,0,-0,-178.76953125,9.99999999999754
0.048,0,-0,-178.59375,9.99999999999648
0.05,0,-0,-178.41796875,9.99999999999779
0.052,0,-0,-178.2421875,9.9999999999974
0.054,0,-0,-178.06640625,9.9999999999961
0.056,0,-0,-177.890625,9.99999999999935
0.058,0,-0,-177.71484375,9.99999999999614
0.06,0,-0,-177.5390625,9.99999999999606
0.062,0,-0,-177.36328125,9.99999999999693
0.064,0,-0,-177.1875,9.9999999999953
0.066,0,-0,-177.01171875,9.99999999999912
0.068,0,-0,-176.8359375,9.99999999999742
0.07,0,-0,-176.66015625,9.99999999999733
0.072,0,-0,-176.484375,9.99999999999723
0.074,0,-0,-176.30859375,9.99999999999714
0.076,0,-0,-176.1328125,9.99999999999708
0.078,0,-0,-175.95703125,9.99999999999703
0.08,0,-0,-175.78125,9.99999999999699
0.082,0,-0,-175.60546875,9.99999999999697
0.084,0,-0,-175.4296875,9.99999999999695
0.086,0,-0,-175.25390625,9.99999999999694
0.088,0,-0,-175.078125,9.99999999999694
0.09,0,-0,-174.90234375,9.99999999999694
0.092,0,-0,-174.7265625,9.99999999999695
0.094,0,-0,-174.55078125,9.99999999999696
0.096,0,-0,-174.375,9.99999999999697
0.098,0,-0,-174.19921875,9.99999999999699
0.1,0,-0,-174.0234375,9.99999999999702
0.102,0,-0,-173.84765625,9.99999999999704
0.104,0,-0,-173.671875,9.99999999999705
0.106,0,-0,-173.49609375,9.99999999999708
0.108,0,-0,-173.3203125,9.9999999999971
0.11,0,-0,-173.14453125,9.99999999999711
0.112,0,-0,-172.96875,9.99999999999712
0.114,0,-0,-172.79296875,9.99999999999712
0.116,0,-0,-172.6171875,9.99999999999713
0.118,0,-0,-172.44140625,9.99999999999715
0.12,0,-0,-172.265625,9.99999999999716
0.122,0,-0,-172.08984375,9.99999999999718
0.124,0,-0,-171.9140625,9.9999999999972
0.126,0,-0,-171.73828125,9.99999999999721
0.128,0,-0,-171.5625,9.99999999999722
0.13,0,-0,-171.38671875,9.99999999999724
0.132,0,-0,-171.2109375,9.99999999999726
0.134,0,-0,-171.03515625,9.99999999999728
0.136,0,-0,-170.859375,9.9999999999973
0.138,0,-0,-170.68359375,9.99999999999732
0.14,0,-0,-170.5078125,9.99999999999734
0.142,0,-0,-170.33203125,9.99999999999736
0.144,0,-0,-170.15625,9.99999999999738
0.146,0,-0,-169.98046875,9.9999999999974
0.148,0,-0,-169.8046875,9.99999999999742
0.15,0,-0,-169.62890625,9.99999999999745
0.152,0,-0,-169.453125,9.99999999999748
0.154,0,-0,-169.27734375,9.9999999999975
0.156,0,-0,-169.1015625,9.99999999999753
0.158,0,-0,-168.92578125,9.99999999999756
0.16,0,-0,-168.75,9.99999999999759
0.162,0,-0,-168.75,9.9999999999975
0.164,0,-0,-168.57421875,9.99999999999753
0.166,0,-0,-168.3984375,9.99999999999757
0.168,0,-0,-168.22265625,9.99999999999761
0.17,0,-0,-168.046875,9.99999999999764
0.172,0,-0,-167.87109375,9.99999999999768
0.174,0,-0,-167.6953125,9.99999999999772
0.176,0,-0,-167.51953125,9.99999999999776
0.178,0,-0,-167.34375,9.9999999999978
0.18,0,-0,-167.16796875,9.99999999999785
0.182,0,-0,-166.9921875,9.99999999999789
0.184,0,-0,-166.81640625,9.99999999999794
0.186,0,-0,-166.640625,9.99999999999799
0.188,0,-0,-166.46484375,9.99999999999805
0.19,0,-0,-166.2890625,9.9999999999981
0.192,0,-0,-166.11328125,9.99999999999815
0.194,0,-0,-165.9375,9.9999999999982
0.196,0,-0,-165.76171875,9.99999999999825
0.198,0,-0,-165.5859375,9.99999999999829
0.2,0,-0,-165.41015625,9.99999999999827
0.202,0,-0,-165.41015625,9.99999999999819
0.204,0,-0,-165.234375,9.99999999999825
0.206,0,-0,-165.05859375,9.99999999999829
0.208,0,-0,-164.8828125,9.99999999999826
0.21,0,-0,-164.70703125,9.99999999999823
0.212,0,-0,-164.53125,9.9999999999982
0.214,0,-0,-164.35546875,9.99999999999817
0.216,0,-0,-164.1796875,9.99999999999815
0.218,0,-0,-164.00390625,9.99999999999813
0.22,0,-0,-163.828125,9.99999999999811
0.222,0,-0,-163.65234375,9.99999999999809
0.224,0,-0,-163.4765625,9.99999999999807
0.226,0,-0,-163.30078125,9.99999999999804
0.228,0,-0,-163.125,9.99999999999803
0.23,0,-0,-162.94921875,9.99999999999801
0.232,0,-0,-162.94921875,9.99999999999807
0.234,0,-0,-162.7734375,9.99999999999804
0.236,0,-0,-162.59765625,9.99999999999802
0.238,0,-0,-162.421875,9.999999999998
0.24,0,-0,-162.24609375,9.99999999999799
0.242,0,-0,-162.0703125,9.99999999999797
0.244,0,-0,-161.89453125,9.99999999999796
0.246,0,-0,-161.71875,9.99999999999794
0.248,0,-0,-161.54296875,9.99999999999793
0.25,0,-0,-161.3671875,9.99999999999792
0.252,0,-0,-161.19140625,9.9999999999979
0.254,0,-0,-161.015625,9.99999999999789
0.256,0,-0,-160.83984375,9.99999999999788
0.258,0,-0,-160.83984375,9.99999999999792
0.26,0,-0,-160.6640625,9.9999999999979
0.262,0,-0,-160.48828125,9.99999999999788
0.264,0,-0,-160.3125,9.99999999999787
0.266,0,-0,-160.13671875,9.99999999999786
0.268,0,-0,-159.9609375,9.99999999999785
0.27,0,-0,-159.78515625,9.99999999999784
0.272,0,-0,-159.609375,9.99999999999784
0.274,0,-0,-159.43359375,9.99999999999783
0.276,0,-0,-159.2578125,9.99999999999782
0.278,0,-0,-159.08203125,9.99999999999782
0.28,0,-0,-159.08203125,9.99999999999784
0.282,0,-0,-158.90625,9.99999999999783
0.284,0,-0,-158.73046875,9.99999999999782
0.286,0,-0,-158.5546875,9.99999999999782
0.288,0,-0,-158.37890625,9.9999999999978
0.29,0,-0,-158.203125,9.9999999999978
0.292,0,-0,-158.02734375,9.99999999999779
0.294,0,-0,-157.8515625,9.99999999999779
0.296,0,-0,-157.67578125,9.99999999999779
0.298,0,-0,-157.5,9.99999999999778
0.3,0,-0,-157.5,9.99999999999779
0.302,0,-0,-157.32421875,9.99999999999779
0.304,0,-0,-157.1484375,9.99999999999779
0.306,0,-0,-156.97265625,9.99999999999778
0.308,0,-0,-156.796875,9.99999999999778
0.31,0,-0,-156.62109375,9.99999999999778
0.312,0,-0,-156.4453125,9.99999999999777
0.314,0,-0,-156.26953125,9.99999999999777
0.316,0,-0,-156.09375,9.99999999999777
0.318,0,-0,-156.09375,9.99999999999778
0.32,0,-0,-155.91796875,9.99999999999777
0.322,0,-0,-155.7421875,9.99999999999777
0.324,0,-0,-155.56640625,9.99999999999777
0.326,0,-0,-155.390625,9.99999999999778
0.328,0,-0,-155.21484375,9.99999999999778
0.33,0,-0,-155.0390625,9.99999999999778
0.332,0,-0,-154.86328125,9.99999999999778
0.334,0,-0,-154.6875,9.99999999999779
0.336,0,-0,-154.6875,9.99999999999778
0.338,0,-0,-154.51171875,9.99999999999778
0.34,0,-0,-154.3359375,9.99999999999779
0.342,0,-0,-154.16015625,9.9999999999978
0.344,0,-0,-153.984375,9.9999999999978
0.346,0,-0,-153.80859375,9.9999999999978
0.348,0,-0,-153.6328125,9.99999999999781
0.35,0,-0,-153.45703125,9.99999999999781
0.352,0,-0,-153.45703125,9.9999999999978
0.354,0,-0,-153.28125,9.99999999999781
0.356,0,-0,-153.10546875,9.99999999999781
0.358,0,-0,-152.9296875,9.99999999999782
0.36,0,-0,-152.75390625,9.99999999999782
0.362,0,-0,-152.578125,9.99999999999782
0.364,0,-0,-152.40234375,9.99999999999783
0.366,0,-0,-152.2265625,9.99999999999783
0.368,0,-0,-152.2265625,9.99999999999782
0.37,0,-0,-152.05078125,9.99999999999783
0.372,0,-0,-151.875,9.99999999999783
0.374,0,-0,-151.69921875,9.99999999999783
0.376,0,-0,-151.5234375,9.99999999999784
0.378,0,-0,-151.34765625,9.99999999999785
0.38,0,-0,-151.171875,9.99999999999786
0.382,0,-0,-151.171875,9.99999999999784
0.384,0,-0,-150.99609375,9.99999999999785
0.386,0,-0,-150.8203125,9.99999999999786
0.388,0,-0,-150.64453125,9.99999999999786
0.39,0,-0,-150.46875,9.99999999999788
0.392,0,-0,-150.29296875,9.99999999999788
0.394,0,-0,-150.1171875,9.99999999999789
0.396,0,-0,-150.1171875,9.99999999999787
0.398,0,-0,-149.94140625,9.99999999999788
0.4,0,-0,-149.765625,9.99999999999789
0.402,0,-0,-149.58984375,9.9999999999979
0.404,0,-0,-149.4140625,9.99999999999791
0.406,0,-0,-149.23828125,9.99999999999793
0.408,0,-0,-149.0625,9.99999999999794
0.41,0,-0,-149.0625,9.99999999999791
0.412,0,-0,-148.88671875,9.99999999999793
0.414,0,-0,-148.7109375,9.99999999999794
0.416,0,-0,-148.53515625,9.99999999999796
0.418,0,-0,-148.359375,9.99999999999798
0.42,0,-0,-148.18359375,9.99999999999799
0.422,0,-0,-148.18359375,9.99999999999796
0.424,0,-0,-148.0078125,9.99999999999798
0.426,0,-0,-147.83203125,9.999999999998
0.428,0,-0,-147.65625,9.99999999999802
0.43,0,-0,-147.48046875,9.99999999999802
0.432,0,-0,-147.3046875,9.99999999999802
0.434,0,-0,-147.12890625,9.99999999999802
0.436,0,-0,-147.12890625,9.99999999999802
0.438,0,-0,-146.953125,9.99999999999802
0.44,0,-0,-146.77734375,9.99999999999802
0.442,0,-0,-146.6015625,9.99999999999803
0.444,0,-0,-146.42578125,9.99999999999803
0.446,0,-0,-146.25,9.99999999999803
0.448,0,-0,-146.25,9.99999999999803
0.45,0,-0,-146.07421875,9.99999999999803
0.452,0,-0,-145.8984375,9.99999999999804
0.454,0,-0,-145.72265625,9.99999999999804
0.456,0,-0,-145.546875,9.99999999999804
0.458,0,-0,-145.546875,9.99999999999804
0.46,0,-0,-145.37109375,9.99999999999804
0.462,0,-0,-145.1953125,9.99999999999805
0.464,0,-0,-145.01953125,9.99999999999805
0.466,0,-0,-144.84375,9.99999999999806
0.468,0,-0,-144.66796875,9.99999999999806
