Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.99999999999734
0.002,0,-0,-180,4.99999999999623
0.004,0,-0,-180,4.99999999999716
0.006,0,-0,-180,4.99999999999736
0.008,0,-0,-180,4.99999999999753
0.01,0,-0,-180,4.99999999999821
0.012,0,-0,-180,4.99999999999849
0.014,0,-0,-180,4.99999999999866
0.016,0,-0,-180,4.99999999999875
0.018,0,-0,-180,4.99999999999863
0.02,0,-0,-180,4.99999999999858
0.022,0,-0,-180,4.99999999999856
0.024,0,-0,-180,4.99999999999856
0.026,0,-0,-180,4.99999999998998
0.028,0,-0,-180,4.99999999998998
0.03,0,-0,-180,4.99999999999001
0.032,0,-0,-180,4.99999999999008
0.034,0,-0,-180,4.99999999999016
0.036,0,-0,-180,4.99999999999026
0.038,0,-0,-180,4.99999999999036
0.04,0,-0,-180,4.99999999999045
0.042,0,-0,-180,4.99999999999053
0.044,0,-0,-180,4.9999999999906
0.046,0,-0,-180,4.99999999999066
0.048,0,-0,-180,4.99999999999071
0.05,0,-0,-180,4.99999999999076
0.052,0,-0,-180,4.99999999999062
0.054,0,-0,-180,4.99999999999045
0.056,0,-0,-180,4.99999999999032
0.058,0,-0,-180,4.99999999999021
0.06,0,-0,-180,4.9999999999901
0.062,0,-0,-180,4.99999999999001
0.064,0,-0,-180,4.99999999998993
0.066,0,-0,-180,4.99999999998986
0.068,0,-0,-180,4.9999999999898
0.07,0,-0,-180,4.99999999998974
0.072,0,-0,-180,4.99999999998969
0.074,0,-0,-180,4.99999999998966
0.076,0,-0,-180,4.99999999998962
0.078,0,-0,-180,4.99999999998959
0.08,0,-0,-180,4.99999999998955
0.082,0,-0,-180,4.99999999998952
0.084,0,-0,-180,4.9999999999895
0.086,0,-0,-180,4.99999999998948
0.088,0,-0,-180,4.99999999998945
0.09,0,-0,-179.82421875,4.99999999998941
0.092,0,-0,-179.6484375,4.99999999998938
0.094,0,-0,-179.47265625,4.99999999998935
0.096,0,-0,-179.296875,4.99999999998932
0.098,0,-0,-179.12109375,4.99999999998929
0.1,0,-0,-178.9453125,4.99999999998926
0.102,0,-0,-178.76953125,4.99999999998924
0.104,0,-0,-178.59375,4.99999999998922
0.106,0,-0,-178.41796875,4.9999999999892
0.108,0,-0,-178.2421875,4.99999999998918
0.11,0,-0,-178.06640625,4.99999999998916
0.112,0,-0,-177.890625,4.99999999998915
0.114,0,-0,-177.71484375,4.99999999998913
0.116,0,-0,-177.5390625,4.99999999998911
0.118,0,-0,-177.36328125,4.9999999999891
0.12,0,-0,-177.1875,4.99999999998909
0.122,0,-0,-177.01171875,4.99999999998907
0.124,0,-0,-176.8359375,4.99999999998906
0.126,0,-0,-176.66015625,4.99999999998905
0.128,0,-0,-176.484375,4.99999999998904
0.13,0,-0,-176.30859375,4.99999999998903
0.132,0,-0,-176.1328125,4.99999999998902
0.134,0,-0,-175.95703125,4.99999999998901
0.136,0,-0,-175.78125,4.999999999989
0.138,0,-0,-175.60546875,4.99999999998899
0.14,0,-0,-175.4296875,4.99999999998898
0.142,0,-0,-175.25390625,4.99999999998897
0.144,0,-0,-175.078125,4.99999999998897
0.146,0,-0,-174.90234375,4.99999999998896
0.148,0,-0,-174.7265625,4.99999999998895
0.15,0,-0,-174.55078125,4.99999999998894
0.152,0,-0,-174.375,4.99999999998894
0.154,0,-0,-174.19921875,4.99999999998893
0.156,0,-0,-174.0234375,4.99999999998892
0.158,0,-0,-173.84765625,4.99999999998892
0.16,0,-0,-173.671875,4.99999999998891
0.162,0,-0,-173.49609375,4.9999999999889
0.164,0,-0,-173.3203125,4.9999999999889
0.166,0,-0,-173.14453125,4.99999999998889
0.168,0,-0,-172.96875,4.99999999998889
0.17,0,-0,-172.79296875,4.99999999998888
0.172,0,-0,-172.6171875,4.99999999998887
0.174,0,-0,-172.44140625,4.99999999998887
0.176,0,-0,-172.265625,4.99999999998886
0.178,0,-0,-172.08984375,4.99999999998885
0.18,0,-0,-171.9140625,4.99999999998885
0.182,0,-0,-171.73828125,4.99999999998884
0.184,0,-0,-171.5625,4.99999999998884
0.186,0,-0,-171.38671875,4.99999999998883
0.188,0,-0,-171.2109375,4.99999999998882
0.19,0,-0,-171.03515625,4.99999999998882
0.192,0,-0,-170.859375,4.99999999998881
0.194,0,-0,-170.68359375,4.99999999998881
0.196,0,-0,-170.5078125,4.9999999999888
0.198,0,-0,-170.33203125,4.9999999999888
0.2,0,-0,-170.15625,4.99999999998879
0.202,0,-0,-169.98046875,4.99999999998878
0.204,0,-0,-169.8046875,4.99999999998878
0.206,0,-0,-169.62890625,4.99999999998877
0.208,0,-0,-169.453125,4.99999999998877
0.21,0,-0,-169.27734375,4.99999999998876
0.212,0,-0,-169.1015625,4.99999999998875
0.214,0,-0,-168.92578125,4.99999999998875
0.216,0,-0,-168.75,4.99999999998874
0.218,0,-0,-168.75,4.99999999998876
0.22,0,-0,-168.57421875,4.99999999998876
0.222,0,-0,-168.3984375,4.99999999998875
0.224,0,-0,-168.22265625,4.99999999998874
0.226,0,-0,-168.046875,4.99999999998873
0.228,0,-0,-167.87109375,4.99999999998873
0.23,0,-0,-167.6953125,4.99999999998872
0.232,0,-0,-167.51953125,4.99999999998871
0.234,0,-0,-167.34375,4.99999999998871
0.236,0,-0,-167.16796875,4.9999999999887
0.238,0,-0,-166.9921875,4.99999999998869
0.24,0,-0,-166.81640625,4.99999999998869
0.242,0,-0,-166.640625,4.99999999998868
0.244,0,-0,-166.46484375,4.99999999998868
0.246,0,-0,-166.2890625,4.99999999998867
0.248,0,-0,-166.11328125,4.99999999998866
0.25,0,-0,-165.9375,4.99999999998866
0.252,0,-0,-165.76171875,4.99999999998865
0.254,0,-0,-165.5859375,4.99999999998864
0.256,0,-0,-165.41015625,4.99999999998864
0.258,0,-0,-165.41015625,4.99999999998866
0.26,0,-0,-165.234375,4.99999999998865
0.262,0,-0,-165.05859375,4.99999999998864
0.264,0,-0,-164.8828125,4.99999999998864
0.266,0,-0,-164.70703125,4.99999999998863
0.268,0,-0,-164.53125,4.99999999998862
0.27,0,-0,-164.35546875,4.99999999998861
0.272,0,-0,-164.1796875,4.99999999998861
0.274,0,-0,-164.00390625,4.9999999999886
0.276,0,-0,-163.828125,4.99999999998859
0.278,0,-0,-163.65234375,4.99999999998859
0.28,0,-0,-163.4765625,4.99999999998858
0.282,0,-0,-163.30078125,4.99999999998858
0.284,0,-0,-163.125,4.99999999998857
0.286,0,-0,-162.94921875,4.99999999998856
0.288,0,-0,-162.94921875,4.99999999998858
0.29,0,-0,-162.7734375,4.99999999998857
0.292,0,-0,-162.59765625,4.99999999998857
0.294,0,-0,-162.421875,4.99999999998856
0.296,0,-0,-162.24609375,4.99999999998855
0.298,0,-0,-162.0703125,4.99999999998854
0.3,0,-0,-161.89453125,4.99999999998854
0.302,0,-0,-161.71875,4.99999999998853
0.304,0,-0,-161.54296875,4.99999999998852
0.306,0,-0,-161.3671875,4.99999999998852
0.308,0,-0,-161.19140625,4.99999999998851
0.31,0,-0,-161.015625,4.9999999999885
0.312,0,-0,-160.83984375,4.9999999999885
0.314,0,-0,-160.83984375,4.99999999998852
0.316,0,-0,-160.6640625,4.99999999998851
0.318,0,-0,-160.48828125,4.9999999999885
0.32,0,-0,-160.3125,4.99999999998849
