Time,Theta_1,Theta_2,Alpha,Input
0,0,-0,-180,4.9999999999995
0.002,0,-0,-180,9.99999999999882
0.004,0,-0,-180,9.99999999999921
0.006,0,-0,-180,9.99999999999951
0.008,0,-0,-180,9.99999999999761
0.01,0,-0,-180,9.99999999999852
0.012,0,-0,-180,9.99999999999856
0.014,0,-0,-180,9.99999999999875
0.016,0,-0,-180,9.99999999999932
0.018,0,-0,-180,9.99999999999605
0.02,0,-0,-180,9.99999999999706
0.022,0,-0,-180,9.99999999999651
0.024,0,-0,-180,9.99999999999676
0.026,0,-0,-180,9.99999999999736
0.028,0,-0,-180,9.99999999999735
0.03,0,-0,-180,9.99999999999659
0.032,0,-0,-180,9.99999999999625
0.034,0,-0,-180,9.99999999999627
0.036,0,-0,-180,9.99999999999663
0.038,0,-0,-180,9.99999999999736
0.04,0,-0,-180,9.99999999999755
0.042,0,-0,-180,9.99999999999745
0.044,0,-0,-180,9.99999999999736
0.046,0,-0,-180,9.99999999999726
0.048,0,-0,-180,9.99999999999718
0.05,0,-0,-180,9.99999999999705
0.052,0,-0,-180,9.99999999999695
0.054,0,-0,-180,9.99999999999687
0.056,0,-0,-180,9.99999999999672
0.058,0,-0,-180,9.99999999999659
0.06,0,-0,-180,9.99999999999649
0.062,0,-0,-180,9.99999999999639
0.064,0,-0,-180,9.9999999999963
0.066,0,-0,-180,9.9999999999962
0.068,0,-0,-180,9.99999999999612
0.07,0,-0,-180,9.99999999999603
0.072,0,-0,-180,9.99999999999597
0.074,0,-0,-180,9.99999999999591
0.076,0,-0,-180,9.99999999999589
0.078,0,-0,-180,9.9999999999959
0.08,0,-0,-180,9.99999999999584
0.082,0,-0,-180,9.99999999999578
0.084,0,-0,-180,9.99999999999573
0.086,0,-0,-180,9.99999999999563
0.088,0,-0,-180,9.99999999999544
0.09,0,-0,-179.82421875,9.99999999999565
0.092,0,-0,-179.6484375,9.99999999999557
0.094,0,-0,-179.47265625,9.99999999999552
0.096,0,-0,-179.296875,9.99999999999548
0.098,0,-0,-179.12109375,9.99999999999551
0.1,0,-0,-178.9453125,9.99999999999552
0.102,0,-0,-178.76953125,9.9999999999955
0.104,0,-0,-178.59375,9.9999999999955
0.106,0,-0,-178.41796875,9.99999999999549
0.108,0,-0,-178.2421875,9.99999999999549
0.11,0,-0,-178.06640625,9.9999999999955
0.112,0,-0,-177.890625,9.99999999999554
0.114,0,-0,-177.71484375,9.99999999999558
0.116,0,-0,-177.5390625,9.99999999999562
0.118,0,-0,-177.36328125,9.99999999999563
0.12,0,-0,-177.1875,9.99999999999563
0.122,0,-0,-177.01171875,9.99999999999564
0.124,0,-0,-176.8359375,9.99999999999564
0.126,0,-0,-176.66015625,9.99999999999565
0.128,0,-0,-176.484375,9.99999999999565
0.13,0,-0,-176.30859375,9.99999999999565
0.132,0,-0,-176.1328125,9.99999999999566
0.134,0,-0,-175.95703125,9.99999999999566
0.136,0,-0,-175.78125,9.99999999999566
0.138,0,-0,-175.60546875,9.99999999999567
0.14,0,-0,-175.4296875,9.99999999999568
