Time,Theta_1,Theta_2,Alpha,Input
13.678,0,-2.109375,0,-0.11355509355812
13.68,0,-2.109375,0,-0.105754169885039
13.682,0,-2.109375,0,-0.0986956016109969
13.684,0,-2.109375,0,-0.0923087443403336
13.686,0,-2.109375,0,-0.08652967637469
13.688,0,-2.109375,0,-0.0813005589643266
13.69,0,-2.109375,0,-0.076569057439527
13.692,0,-2.109375,0,-0.0722878174285813
13.694,0,-2.109375,0,-0.0684139909201771
13.696,0,-2.109375,0,-0.0649088074268788
13.698,0,-2.109375,0,-0.0617371859577616
13.7,0,-2.109375,0,-0.0588673839166996
13.702,0,-2.109375,0,-0.0562706794123699
13.704,0,-2.109375,0,-0.0539210838004334
13.706,0,-2.109375,0,-0.051795081580918
13.708,0,-2.109375,0,-0.0498713950476172
13.71,0,-2.109375,0,-0.0481307713340416
13.712,0,-2.109375,0,-0.046555789724609
13.714,0,-2.109375,0,-0.0451306873025842
13.716,0,-2.109375,0,-0.0438412011897953
13.718,0,-2.109375,0,-0.0426744257992148
13.72,0,-2.109375,0,-0.0416186836717404
13.722,0,-2.109375,0,-0.0406634086044715
13.724,0,-2.109375,0,-0.0397990399007917
13.726,0,-2.109375,0,-0.039016926683876
13.728,0,-2.109375,0,-0.0383092413159649
13.73,0,-2.109375,0,-0.0376689010568778
13.732,0,-2.109375,0,-0.0370894971776959
13.734,0,-2.109375,0,-0.0365652308201669
13.736,0,-2.109375,0,-0.0360908549598861
13.738,0,-2.109375,0,-0.0356616218924095
13.74,0,-2.109375,0,-0.0352732357167163
13.742,0,-2.109375,0,-0.0349218093404675
13.744,0,-2.109375,0,-0.0346038255767485
13.746,0,-2.109375,0,-0.0343161019429441
13.748,0,-2.109375,0,-0.0340557588094419
13.75,0,-2.109375,0,-0.0338201905793817
13.752,0,-2.109375,0,-0.0336070396110145
13.754,0,-2.109375,0,-0.0334141726216747
13.756,0,-2.109375,0,-0.0332396593372081
13.758,0,-2.109375,0,-0.0330817531731743
13.76,0,-2.109375,0,-0.0329388737544753
13.762,0,-2.109375,0,-0.0328095910984582
13.764,0,-2.109375,0,-0.0326926113031945
13.766,0,-2.109375,0,-0.0325867635976974
13.768,0,-2.109375,0,-0.0324909886244749
13.77,0,-2.109375,0.175781249999993,-0.591872748147339
13.772,0,-2.109375,0.175781249999993,-0.547888374961203
13.774,0,-2.109375,0.175781249999993,-0.508089664651043
13.776,0,-2.109375,0.175781249999993,-0.472078299110774
13.778,0,-2.109375,0.175781249999993,-0.439493865143732
13.78,0,-2.109375,0,0.149458172939447
13.782,0,-2.109375,0,0.132230096673725
13.784,0,-2.28515625,0,-0.0370646814801084
13.786,0,-2.28515625,0,-0.0367932152323646
13.788,0,-2.28515625,0,-0.0365475823819286
13.79,0,-2.28515625,0,-0.0363253245676218
13.792,0,-2.28515625,0,-0.0361242173625687
13.794,0,-2.28515625,-0.175781249999993,0.52352617229264
13.796,0,-2.4609375,-0.175781249999993,0.326078697053585
13.798,0,-2.4609375,-0.175781249999993,0.300876547219923
13.8,0,-2.4609375,-0.175781249999993,0.278072696978971
13.802,0,-2.4609375,-0.175781249999993,0.257438918136573
13.804,0,-2.4609375,-0.175781249999993,0.238768701273265
13.806,0,-2.4609375,-0.175781249999993,0.221875188922211
13.808,0,-2.4609375,-0.175781249999993,0.206589305440264
13.81,0,-2.4609375,-0.175781249999993,0.192758064845169
13.812,0,-2.4609375,-0.175781249999993,0.180243039683203
13.814,0,-2.4609375,-0.175781249999993,0.168918975603214
13.816,0,-2.4609375,-0.175781249999993,0.158672537771235
13.818,0,-2.4609375,-0.175781249999993,0.149401176579443
13.82,0,-2.4609375,-0.175781249999993,0.141012101297065
13.822,0,-2.4609375,-0.175781249999993,0.133421351391246
13.824,0,-2.4609375,-0.175781249999993,0.126552956223339
13.826,0,-2.4609375,-0.175781249999993,0.120338174710598
13.828,0,-2.4609375,0,-0.444753612967187
13.83,0,-2.4609375,0,-0.405935887380564
13.832,0,-2.28515625,0,-0.217105984906953
13.834,0,-2.28515625,0,-0.199701338102705
13.836,0,-2.28515625,0,-0.183952961009619
13.838,0,-2.28515625,0,-0.169703238851654
13.84,0,-2.28515625,0,-0.156809555878546
13.842,0,-2.28515625,0,-0.145142868011367
13.844,0,-2.28515625,0,-0.134586411328349
13.846,0,-2.28515625,0,-0.125034533454428
13.848,0,-2.28515625,0,-0.116391636158684
13.85,0,-2.28515625,0,-0.108571218576847
13.852,0,-2.28515625,0,-0.101495011483141
13.854,0,-2.28515625,0,-0.0950921939469902
13.856,0,-2.28515625,0,-0.0892986845346231
13.858,0,-2.28515625,0,-0.0840564999617103
13.86,0,-2.28515625,0,-0.0793131747782173
13.862,0,-2.28515625,0,-0.0750212362774986
13.864,0,-2.4609375,0,-0.224843898035621
13.866,0,-2.4609375,0,-0.206953330669091
13.868,0,-2.4609375,0,-0.190765274409877
13.87,0,-2.4609375,0,-0.17611771405443
13.872,0,-2.4609375,0,-0.162864052161309
13.874,0,-2.4609375,0,-0.150871641868091
13.876,0,-2.4609375,0,-0.140020459319402
13.878,0,-2.4609375,0,-0.130201902430003
13.88,0,-2.4609375,-0.175781249999993,0.438150716353731
13.882,0,-2.4609375,-0.175781249999993,0.402283513026041
13.884,0,-2.63671875,-0.175781249999993,0.216123353739831
13.886,0,-2.63671875,-0.175781249999993,0.201134390687712
13.888,0,-2.63671875,-0.175781249999993,0.187571814841285
13.89,0,-2.63671875,-0.175781249999993,0.175299887618844
13.892,0,-2.63671875,-0.175781249999993,0.164195787670709
13.894,0,-2.63671875,-0.175781249999993,0.154148381633887
13.896,0,-2.63671875,-0.175781249999993,0.145057111874045
13.898,0,-2.63671875,-0.175781249999993,0.136830990072724
13.9,0,-2.63671875,-0.175781249999993,0.129387686587321
13.902,0,-2.63671875,-0.175781249999993,0.122652706469847
13.904,0,-2.63671875,-0.175781249999993,0.116558643897803
13.906,0,-2.63671875,-0.175781249999993,0.111044507555271
13.908,0,-2.63671875,-0.175781249999993,0.106055110212435
13.91,0,-2.63671875,-0.175781249999993,0.101540516394236
13.912,0,-2.63671875,-0.175781249999993,0.0974555426102625
13.914,0,-2.63671875,-0.175781249999993,0.0937593051440057
13.916,0,-2.63671875,-0.175781249999993,0.0904148108756315
13.918,0,-2.63671875,-0.175781249999993,0.0873885870430719
13.92,0,-2.63671875,-0.175781249999993,0.0846503462359775
13.922,0,-2.63671875,-0.175781249999993,0.0821726832696891
13.924,0,-2.63671875,0,-0.479537619405187
13.926,0,-2.63671875,0,-0.437660199382511
13.928,0,-2.4609375,0,-0.246061770644515
13.93,0,-2.4609375,0,-0.226152057456455
13.932,0,-2.4609375,0,-0.208137002359337
13.934,0,-2.4609375,0,-0.1918363049429
13.936,0,-2.4609375,0,-0.177086822644354
13.938,0,-2.63671875,0,-0.317447106616212
13.94,0,-2.63671875,0,-0.290994624989699
13.942,0,-2.63671875,0,-0.267059427636169
13.944,0,-2.63671875,0,-0.245401963500795
13.946,0,-2.63671875,-0.175781249999993,0.33366294251783
13.948,0,-2.63671875,-0.175781249999993,0.307488618391617
13.95,0,-2.63671875,-0.175781249999993,0.283805108351319
13.952,0,-2.63671875,-0.175781249999993,0.26237538033523
13.954,0,-2.63671875,-0.175781249999993,0.242984958811471
13.956,0,-2.8125,-0.175781249999993,0.0717336096143638
13.958,0,-2.8125,-0.175781249999993,0.0702346970109884
13.96,0,-2.8125,-0.175781249999993,0.0688784246876023
13.962,0,-2.8125,-0.175781249999993,0.0676512186291905
13.964,0,-2.8125,-0.175781249999993,0.0665407965673125
13.966,0,-2.8125,-0.175781249999993,0.0655360450448975
13.968,0,-2.8125,-0.175781249999993,0.0646269081892346
13.97,0,-2.8125,-0.351562500000012,0.623272707384497
13.972,0,-2.8125,-0.351562500000012,0.578622409686357
13.974,0,-2.8125,-0.351562500000012,0.538221145909951
13.976,0,-2.8125,-0.351562500000012,0.501664567397667
13.978,0,-2.8125,-0.351562500000012,0.468586804288058
13.98,0,-2.8125,-0.351562500000012,0.438656803810366
13.982,0,-2.8125,-0.175781249999993,-0.147893403308884
13.984,0,-2.8125,-0.175781249999993,-0.128492060321197
13.986,0,-2.8125,-0.175781249999993,-0.110936997599958
13.988,0,-2.8125,-0.175781249999993,-0.0950525185349288
13.99,0,-2.63671875,-0.175781249999993,0.0730265224527041
13.992,0,-2.63671875,-0.175781249999993,0.071655011626549
13.994,0,-2.63671875,-0.175781249999993,0.07041401719003
13.996,0,-2.63671875,0,-0.490177301424
13.998,0,-2.63671875,0,-0.44728738266125
14,0,-2.63671875,0,-0.408478975755797
14.002,0,-2.63671875,0,-0.373363673872486
14.004,0,-2.63671875,0,-0.341590031904646
