Time,Theta,Alpha,Input
0.452,-0,-179.82421875,125.540987680561
0.453,-0,-179.82421875,125.540987680561
0.454,-0,-179.82421875,125.540987680561
0.455,-0,-179.82421875,125.540987680561
0.456,-0,-179.82421875,125.540987680561
0.457,-0,-179.82421875,125.540987680561
0.458,-0,-179.82421875,125.540987680561
0.459,-0,-179.82421875,125.540987680561
0.46,-0,-179.82421875,125.540987680561
0.461,-0,-179.82421875,125.540987680561
0.462,-0,-179.82421875,125.540987680561
0.463,-0,-179.82421875,125.540987680561
0.464,-0,-179.82421875,125.540987680561
0.465,-0,-179.82421875,125.540987680561
0.466,-0,-179.82421875,125.540987680561
0.467,-0,-179.82421875,125.540987680561
0.468,-0,-179.82421875,125.540987680561
0.469,-0,-179.82421875,125.540987680561
0.47,-0,-179.82421875,125.540987680561
0.471,-0,-179.82421875,125.540987680561
0.472,-0,-179.82421875,125.540987680561
0.473,-0,-179.82421875,125.540987680561
0.474,-0,-179.82421875,125.540987680561
0.475,-0,-179.82421875,125.540987680561
0.476,-0,-179.82421875,125.540987680561
0.477,-0,-179.82421875,125.540987680561
0.478,-0,-179.82421875,125.540987680561
0.479,-0,-179.82421875,125.540987680561
0.48,-0,-179.82421875,125.540987680561
0.481,-0,-179.82421875,125.540987680561
0.482,-0,-179.82421875,125.540987680561
0.483,-0,-179.82421875,125.540987680561
0.484,-0,-179.82421875,125.540987680561
0.485,-0,-179.82421875,125.540987680561
0.486,-0,-179.82421875,125.540987680561
0.487,-0,-179.82421875,125.540987680561
0.488,-0,-179.82421875,125.540987680561
0.489,-0,-179.82421875,125.540987680561
0.49,-0,-179.82421875,125.540987680561
0.491,-0,-179.82421875,125.540987680561
0.492,-0,-179.82421875,125.540987680561
0.493,-0,-179.82421875,125.540987680561
0.494,-0,-179.82421875,125.540987680561
0.495,-0,-179.82421875,125.540987680561
0.496,-0,-179.82421875,125.540987680561
0.497,-0,-179.82421875,125.540987680561
0.498,-0,-179.82421875,125.540987680561
0.499,-0,-179.82421875,125.540987680561
0.5,-0,-179.82421875,125.540987680561
0.501,-0,-179.82421875,125.540987680561
0.502,-0,-179.82421875,125.540987680561
0.503,-0,-179.82421875,125.540987680561
0.504,-0,-179.82421875,125.540987680561
0.505,-0,-179.82421875,125.540987680561
0.506,-0,-180,128.731667719363
0.507,-0,-180,125.663706143592
0.508,-0,-180,125.663706143592
0.509,-0,-180,125.663706143592
0.51,-0,-180,125.663706143592
0.511,-0,-180,125.663706143592
0.512,-0,-180,125.663706143592
0.513,-0,-180,125.663706143592
0.514,-0,-180,125.663706143592
0.515,-0,-180,125.663706143592
0.516,-0,-180,125.663706143592
0.517,-0,-180,125.663706143592
0.518,-0,-180,125.663706143592
0.519,-0,-180,125.663706143592
0.52,-0,-180,125.663706143592
0.521,-0,-180,125.663706143592
0.522,-0,-180,125.663706143592
0.523,-0,-180,125.663706143592
0.524,-0,-180,125.663706143592
0.525,-0,-180,125.663706143592
0.526,-0,-180,125.663706143592
0.527,-0,-180,125.663706143592
0.528,-0,-180,125.663706143592
0.529,-0,-180,125.663706143592
0.53,-0,-180,125.663706143592
0.531,-0,-180,125.663706143592
0.532,-0,-180,125.663706143592
0.533,-0,-180,125.663706143592
0.534,-0,-180,125.663706143592
0.535,-0,-180,125.663706143592
0.536,-0,-180,125.663706143592
0.537,-0,-180,125.663706143592
